Bid,Price,Ask,Spread,Skew,Cash,Inventory,PnL,RSI,Trades,Informed Trades,Noise Trades,Trade Imbalance
99.0,100,101.5,0.025,0.2,100304.5,-3,4.5,50,1,0,1,3
98.15412398960355,99.14557978747833,100.6327634842905,0.025,0.2,100304.5,-3,7.063260637558415,50,1,0,1,3
99.80669792225969,100.81484638612089,102.32706908191271,0.025,0.2,101123.11655265531,-11,14.153242407977814,50,2,0,2,11
101.19142035041031,102.21355590950536,103.74675924814794,0.025,0.2,101247.30602308534,-12,20.743352171281003,50,5,0,5,12
101.45926791435846,102.48410900440248,104.02137063946851,0.025,0.2,101247.30602308534,-12,17.49671503251011,50,5,0,5,12
102.12192303898307,103.15345761513441,104.70075947936144,0.025,0.2,102084.91209892023,-20,21.84294661754393,50,6,0,6,20
101.52252364993491,102.54800368680294,104.08622374210499,0.025,0.2,101069.68686242089,-10,44.20682555285748,50,8,0,8,10
101.77381473626662,102.80183306693597,104.34386056294001,0.025,0.2,100153.72252979448,-1,50.92069672755315,50,9,0,9,1
103.04609449198192,104.08696413331506,105.64826859531479,0.025,0.2,100259.37079838979,-2,51.19687012316717,50,10,0,10,2
104.71823640774704,105.08603753913401,105.24366659544272,0.005,-0.4,100259.37079838979,-2,49.19872331152146,50,10,0,10,2
104.44628555375266,104.81313151405185,104.97035121132292,0.005,-0.4,100259.37079838979,-2,49.744535361693124,50,10,0,10,2
103.3806152158811,103.74371822968499,103.89933380702952,0.005,-0.4,100259.37079838979,-2,51.883361930420506,50,10,0,10,2
104.93855702963319,105.3071319916038,105.4650926895912,0.005,-0.4,101317.70747490542,-12,54.0218910061667,50,14,0,14,12
104.39062131892577,105.44507203931896,107.02674811990875,0.025,0.2,101317.70747490542,-12,52.366610433586175,76.81371180821047,14,0,14,12
104.88449755368642,105.94393692291557,107.5330959767593,0.025,0.2,101962.90605076597,-18,55.91518615349196,78.81630706394844,15,0,15,18
105.85976610992341,106.92905667669032,108.53299252684067,0.025,0.2,101962.90605076597,-18,38.18303058555466,67.32552439969973,15,0,15,18
104.07020121738401,105.12141537109495,106.69823660166138,0.025,0.2,103683.21801331395,-34,109.08989069671952,65.17377557271914,19,0,19,34
103.69388933341017,104.74130235697997,106.31242189233467,0.025,0.2,103683.21801331395,-34,122.01373317663092,59.36822173318206,19,0,19,34
102.62473343431186,103.66134690334532,105.2162671068955,0.025,0.2,103601.3255492603,-33,180.50110144990322,50.39338633698887,21,0,21,33
100.63983391760401,101.6563978965697,103.18124386501825,0.025,0.2,103601.3255492603,-33,246.6644186735066,52.244227452743004,21,0,21,33
101.11235876954605,102.1336957268142,103.6657011627164,0.025,0.2,104015.98835391118,-37,237.04161201904935,46.92346313237662,22,0,22,37
99.7788545953056,100.78672181344,102.2985226406416,0.025,0.2,103417.31522633934,-31,292.9268501227052,47.1774257296472,23,0,23,31
99.8373099341935,100.84576761029646,102.35845412445092,0.025,0.2,103417.31522633934,-31,291.09643042014795,42.36653848570095,23,0,23,31
99.19617576143007,99.5445817977221,99.69389867041869,0.005,-0.4,103417.31522633934,-31,331.4331906099542,41.61139615113284,23,0,23,31
98.9819076552353,99.32956111915233,99.47855546083106,0.005,-0.4,103417.31522633934,-31,338.0988316456205,46.85901663711117,23,0,23,31
99.43137548360932,100.43573281172658,101.94226880390248,0.025,0.2,103417.31522633934,-31,303.8075091758219,48.93756684970844,23,0,23,31
99.89194770300867,100.90095727576633,102.41447163490282,0.025,0.2,103417.31522633934,-31,289.3855507905828,48.850860818325934,23,0,23,31
99.87254066710504,100.88135420919701,102.39457452233496,0.025,0.2,102718.20744166961,-24,297.05494064888626,47.557539481925964,24,0,24,24
99.59593908795281,100.60195867469982,102.11098805482031,0.025,0.2,103535.09534610818,-32,315.832668517789,50.29047411790719,25,0,25,32
100.12930514517154,101.14071226785005,102.6578229518678,0.025,0.2,104356.35792972312,-40,310.72943900911196,48.26301051493681,26,0,26,40
99.73006595678791,100.73744036039183,102.2485019657977,0.025,0.2,103458.78733611203,-31,335.9266849398846,50.2884504601524,28,0,28,31
100.1047310342227,101.11588993355828,102.63262828256165,0.025,0.2,103664.05259267715,-33,327.2282248697302,51.98755735750118,29,0,29,33
100.41922130594521,101.43355687469213,102.95506022781251,0.025,0.2,103664.05259267715,-33,316.7452158123051,44.19440116503279,29,0,29,33
98.91259600233668,99.91171313367342,101.41038883067851,0.025,0.2,103664.05259267715,-33,366.96605926593475,49.036462339440206,29,0,29,33
99.79929723155608,100.80737094096574,102.31948150508022,0.025,0.2,103664.05259267715,-33,337.40935162527603,45.356193132027165,29,0,29,33
100.02960678314903,100.02960678314903,100.02960678314903,0.0,0.4,103664.05259267715,-33,363.0755688332283,53.52768134721745,29,0,29,33
100.7044263693357,101.72164279730879,103.24746743926842,0.025,0.2,103664.05259267715,-33,307.23838036596135,51.27577575127861,29,0,29,33
100.24761401224143,101.26021617398123,102.27281833572104,0.02,0.0,102360.83361051802,-20,335.62928703839134,57.73415176008154,31,0,31,20
101.78830360244962,102.81646828530265,104.35871530958218,0.025,0.2,102673.90975644677,-23,309.1309858848108,55.29668238757737,32,0,32,23
101.31253895980984,102.33589793920186,103.87093640828988,0.025,0.2,102673.90975644677,-23,320.1841038451239,54.266853392841846,32,0,32,23
101.11396075640465,102.13531389535824,103.66734360378861,0.025,0.2,102673.90975644677,-23,324.79753685352625,60.27508444960565,32,0,32,23
102.61145271089808,103.64793203121017,105.20265101167833,0.025,0.2,103094.72036049349,-27,296.2261956508155,52.82422505860576,34,0,34,27
