Bid,Price,Ask,Spread,Skew,Cash,Inventory,PnL,RSI
99.9,100,100.9,0.01,0.8,99500.5,505,0.5,50
98.50918031968344,98.60778810779122,99.49525820076134,0.01,0.8,99500.5,505,-702.5670055654482,50
97.67152580535624,97.7692951004567,98.64921875636081,0.01,0.8,99305.15694838928,507,-1125.8104356791591,50
98.65422715868918,98.75298013882801,99.64175696007746,0.01,0.8,99305.15694838928,507,-627.0821212249284,50
98.16089820996993,98.25915736733727,99.1434897836433,0.01,0.8,99109.81774354301,509,-876.2711564823112,50
100.608975521732,100.70968520693894,101.61607237380139,0.01,0.8,97198.2472086301,528,372.96099789385335,50
100.92231366731515,101.94173097708601,102.96114828685687,0.02,0.0,97198.2472086301,528,1023.4811645315203,50
99.70648175936502,100.71361793875255,101.72075411814008,0.02,0.0,97198.2472086301,528,375.0374802914448,50
98.92147744003181,99.9206842828604,100.919891125689,0.02,0.0,97198.2472086301,528,-43.63149001961574,50
98.00469201142536,98.99463839537916,99.98458477933295,0.02,0.0,97198.2472086301,528,-532.5837186097051,50
99.87709205520801,99.97706912433235,100.37697740082967,0.005,0.6,97198.2472086301,528,-13.860293722420465,50
98.76027935502951,98.85913849352303,99.74887073996474,0.01,0.8,97198.2472086301,528,-604.1276667897473,50
100.03368950471693,100.13382332804498,101.03502773799738,0.01,0.8,95897.80924506877,541,70.20766554109287,50
98.63393076327874,99.63023309422096,100.62653542516317,0.02,0.0,95897.80924506877,541,-202.23465095768915,38.85584855498097
96.9171750841941,97.8961364486809,98.87509781316771,0.02,0.0,95897.80924506877,541,-1140.3809361948515,43.36669624799658
98.12864742287428,99.11984588169119,100.1110443405081,0.02,0.0,95014.6514182629,550,-469.43334680693806,42.19384630104058
97.70479085833139,98.69170793770847,99.67862501708555,0.02,0.0,94623.83225482958,554,-700.9615476799081,39.51889589049113
96.71973910407698,97.69670616573433,98.67367322739167,0.02,0.0,94623.83225482958,554,-1252.1925293536042,44.702724386623096
98.07229317657082,99.0629224005766,100.05355162458237,0.02,0.0,94623.83225482958,554,-495.30873525099014,46.06027264593913
98.4410886393585,99.4354430700591,100.42979750075969,0.02,0.0,94623.83225482958,554,-288.9322843576665,47.98092198630345
98.95612130496337,99.95567808582159,100.9552348666798,0.02,0.0,94532.87258777149,555,8.273925402463647,49.89966422670089
99.4705044823884,100.47525705291758,101.48000962344676,0.02,0.0,95344.71266475908,547,304.6782727050013,49.383288310919085
99.33509968224602,100.33848452752123,101.34186937279644,0.02,0.0,95344.71266475908,547,229.86370131318108,47.29639380418626
98.79899019888813,99.7969597968567,100.79492939482526,0.02,0.0,96251.8670293125,538,-57.36859997859574,47.07663808589439
99.74141442674419,99.74141442674419,99.74141442674419,0.0,0.2,96052.38420045901,540,-87.25200909911655,50.207308475772116
100.33892258482736,100.43936194677413,101.34331620429509,0.01,0.8,96356.41414907189,537,292.3515144895937,54.444898117982525
101.35703451933804,101.45849301235039,102.37161944946155,0.01,0.8,96356.41414907189,537,839.6248967040447,54.54040386050479
101.3803724025054,101.48185425676216,102.39519094507303,0.01,0.8,96970.78529474232,531,857.6499050830316,56.54549100419095
101.85733323875834,101.95929253128963,102.87692616407124,0.01,0.8,96970.78529474232,531,1111.169628857111,61.861647918841086
103.25700507899916,103.3603654444436,104.29060873344359,0.01,0.8,96970.78529474232,531,1855.139345741889,61.02752181870313
103.11179907514988,103.21501408923912,104.14394921604227,0.01,0.8,98332.91383567802,518,1798.2911339038983,62.44700657568254
103.43798849198153,103.59337855982126,103.95595538478064,0.005,0.4,97608.84791623414,525,1995.3716601402848,63.10691995621541
103.24709101496934,103.76592061805964,104.28475022114993,0.01,0.0,97608.84791623414,525,2085.956240715459,57.128368607902736
102.70896893325813,102.81178071397211,103.73708674039786,0.01,0.8,98023.79626319573,521,1588.7340151751996,59.796829382386704
103.32908702638281,103.43251954592874,104.3634122218421,0.01,0.8,98963.06697319231,512,1920.51698070782,62.92739116039788
104.11029746180789,104.21451197378167,105.1524425815457,0.01,0.8,98754.8463782687,514,2321.105532792484,67.16807543433353
105.31356161182245,105.41898059241487,106.3677514177466,0.01,0.8,98333.59213182141,518,2940.6240786923154,61.46283000556964
104.40687901062851,104.51139040102954,105.45199291463881,0.01,0.8,98757.49033128798,514,2476.3449974171526,63.79196141887418
105.14962842846805,105.14962842846805,105.14962842846805,0.0,0.6,98757.49033128798,514,2804.3993435205484,57.264668219579015
103.92788379726909,104.03191571298207,104.9682029543989,0.01,0.8,98757.49033128798,514,2229.8950077607587,58.35559188483092
104.19333304566163,104.29763067633797,105.23630935242501,0.01,0.8,98132.330333014,520,2367.098284709733,64.01490635424662
105.7118887355031,105.81770644194503,106.77006579992253,0.01,0.8,98026.6184442785,521,3157.643500531849,60.208196446688845
105.16100558468708,105.16100558468708,105.16100558468708,0.0,0.2,98236.94045544788,519,2815.5023539004615,67.17822440953353
107.23130992107802,107.33864856964767,108.3046964067745,0.01,0.8,98236.94045544788,519,3945.6990630950313,60.10251159910683
105.87360883516976,105.97958842359336,106.9334047194057,0.01,0.8,97919.31962894238,522,3240.664786058129,66.00392117809358
107.95141358699756,108.05947306005761,109.03200831759813,0.01,0.8,98464.47967053037,517,4331.227242580149,66.89086129732647
108.30084043311093,108.40924968279373,109.38493292993887,0.01,0.8,98464.47967053037,517,4512.061756534735,61.593609841755125
107.23124129616573,107.33857987604178,108.30462709492615,0.01,0.8,98464.47967053037,517,3958.525466443971,56.72220361168299
