Bid,Price,Ask,Spread,Skew,Cash,Inventory,PnL,RSI
99.1,100,100.1,0.01,-0.8,98810.8,12,10.80000000000291,50
96.72993406162107,98.80483560941886,99.69407912990363,0.03,-0.4,98810.8,12,-3.5419726869731676,50
95.65670820075866,97.70858856052978,98.58796585757455,0.03,-0.4,99106.56389757272,9,-14.058805382519495,50
95.72521120303198,97.77856098368946,98.65856803254266,0.03,-0.4,99106.56389757272,9,-13.429053574072896,50
95.6276401185546,97.67889695460121,98.55800702719263,0.03,-0.4,99106.56389757272,9,-14.326029835865484,50
94.77415053747302,96.80709962969665,97.67836352636392,0.03,-0.4,99106.56389757272,9,-22.17220576001273,50
96.06580438524797,98.12646004621857,99.00959818663453,0.03,-0.4,99106.56389757272,9,-10.297962011318305,50
95.58681205380068,97.63719310909161,98.51592784707344,0.03,-0.4,99106.56389757272,9,-14.70136444545642,50
94.00749590029919,96.02399989816057,96.88821589724401,0.03,-0.4,98260.49643447003,18,-11.07156736307661,50
94.84190419623218,95.22279537774315,95.79413215000962,0.01,0.2,99122.64362382011,9,-20.351217780204024,50
94.95433817953929,95.3356809031519,95.90769498857081,0.01,0.2,99410.36670878582,6,-17.619205795272137,50
94.25323081737808,96.27500594216352,97.141480995643,0.03,-0.4,99410.36670878582,6,-11.9832555611938,50
94.73206305621521,96.76410935262024,97.63498633679382,0.03,-0.4,99410.36670878582,6,-9.048635098457453,50
93.4307269401572,95.43485897871011,96.2937727095185,0.03,-0.4,99410.36670878582,6,-17.02413734192669,38.15487654676512
95.23977378780707,96.25040301951194,96.68352983309974,0.015,-0.4,99410.36670878582,6,-12.130873097106814,35.92324815593015
94.59737526132452,95.60118773251594,96.03139307731226,0.015,-0.4,100178.61785340431,-2,-12.584522060715244,33.18933769644724
92.62024394196726,94.75216771556752,94.98904813485645,0.025,-0.8,100178.61785340431,-2,-10.886482026820886,37.39698491572266
93.3008336762598,95.44842319821974,95.68704425621529,0.025,-0.8,101039.80125171026,-11,-10.131403470149962,42.38042466849993
96.14362097618144,96.33629356330806,98.07034684744761,0.02,0.8,100559.08314682935,-6,-18.934614550496917,42.281691025085614
95.30083155351646,96.31210869481198,96.74551318393864,0.015,-0.4,100559.08314682935,-6,-18.789505339518655,43.32633153316308
95.3319137282764,96.48979122295182,98.22660746496496,0.03,0.2,100559.08314682935,-6,-19.85560050836648,49.4240984877269
95.24674982948649,97.58888302201484,98.17441632014693,0.03,-0.6,99701.86239836397,3,-5.370952569981455,45.30819041059732
95.71156204264798,96.72719761763314,97.16247000691249,0.015,-0.4,99701.86239836397,3,-7.956008783134166,44.35734366000771
95.50776497183492,96.52123797052543,96.9555835413928,0.015,-0.4,100574.4626502365,-6,-4.664777586658602,49.22047474087705
96.95571728103168,97.39399023709862,98.41662713458815,0.015,0.4,100283.5954983934,-3,-8.58647231789655,51.04594486327475
95.39400360401497,97.73975779099895,98.32619633774495,0.03,-0.6,100873.55267641987,-9,-6.105143699111068,48.17326394619861
96.04067963258049,97.20716562002075,98.95689460118112,0.03,0.2,100393.34927825697,-4,4.5206157768843696,55.015927243824386
96.47449386546101,98.5439161036374,99.43081134857013,0.03,-0.4,100791.07252365125,-8,2.721194822152029,57.77302377398831
97.07544482711357,99.15775773964614,100.05017755930295,0.03,-0.4,100791.07252365125,-8,-2.189538265913143,51.894613766900356
97.22136386662673,98.10430258993615,100.1644929443248,0.03,0.4,101492.22397426152,-15,20.659435412482708,53.86839447987342
98.22009186542887,98.51563878177419,99.20524825324661,0.01,0.4,100706.46323933809,-7,16.853767865672125,51.3154942686743
95.69925954768132,98.05252002836201,98.64083514853218,0.03,-0.6,101594.23075567489,-16,25.390435221095686,45.462539966812564
96.6905188724704,96.88428744736514,98.62820462141771,0.02,0.8,101207.46868018502,-12,44.85723081663309,43.31788480039928
96.22058279642864,96.41340961565996,98.14885098874184,0.02,0.8,101207.46868018502,-12,50.507764797104755,52.25395614021909
95.7925730755654,98.14812815119406,98.73701692010123,0.03,-0.6,100536.92066865606,-5,46.180027900089044,55.04381644218424
96.70777137883267,98.78219752689752,99.6712373046396,0.03,-0.4,99666.55072624657,4,61.67951635415375,52.54583489238324
97.32014104169777,98.30317276939168,99.77772036093255,0.025,0.2,99586.43364043951,5,77.9495042864728,61.2286352416612
99.59372322306142,100.49820708684301,102.60866943566671,0.03,0.4,99486.83991721645,6,89.82915973750642,57.32099965190027
98.84115633125245,99.73880558148582,101.83332049869702,0.03,0.4,100097.83984020863,0,97.83984020863136,57.64829689575755
97.72788588595093,99.82419395909186,100.72261170472369,0.03,-0.4,99413.74463900698,7,112.51399672061962,47.92371104940306
95.67393840601468,97.72618836160846,98.60572405686294,0.03,-0.4,99413.74463900698,7,97.82795753824757,52.70077502461445
98.0025466770572,98.8925798961223,100.96932407394087,0.03,0.4,99716.6526112288,4,112.22293081328098,51.13699181142756
97.54620417161216,98.53151936526481,100.00949215574379,0.025,0.2,99619.10640705719,5,111.76400388350885,46.258019006565256
96.31772352317596,97.33979133216367,97.77782039315841,0.015,-0.4,99619.10640705719,5,105.80536371801281,46.32702785186386
96.33247937091703,97.35470376040124,97.79279992732305,0.015,-0.4,99716.89920698451,4,106.31802202611289,50.302198985755275
97.23509493053369,98.21726760659969,99.69052662069869,0.025,0.2,99716.89920698451,4,109.76827741091256,50.8595613602747
97.3565289012923,98.33992818312353,99.81502710587039,0.025,0.2,100615.23445093735,-5,123.53481002173794,59.32643501095925
98.34451816615805,100.45405328514612,101.35813976471243,0.03,-0.4,100615.23445093735,-5,112.96418451161298,51.27740666762659
